Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,Software||Software
Created,2022-08-26T16:24:44Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
"autognomus: AUtomatic Tension-Oriented GeNerator Of MUSic","German Ruiz Marcos (9441197); Robin Laney (3126213); Alistair Willis (4223890)",2021,"Open Research Data Online (ORDO)",oai:figshare.com:article/15028599,https://figshare.com/articles/software/autognomus_AUtomatic_Tension-Oriented_GeNerator_Of_MUSic/15028599
"Automated mapping of Antarctic surface meltwater","Peter Tuckett (7447850); Jeremy Ely (2757607); Andrew Sole (2757595); James Lea (11624031); Stephen Livingstone (2757583); J. Melchior van Wessem (6817495); Julie Jones (2757556)",2021,"Sheffield figshare",oai:figshare.com:article/16904620,https://figshare.com/articles/software/Automated_mapping_of_Antarctic_surface_meltwater/16904620
"Automatic iFAST Spectral Acquisition (Step 0.6V Range-15-20.4 V)","Nicola Stehling (3305715); Jiao Chengge (6458443); Kerry Abrams (2761186); Cornelia Rodenburg (2761063)",2019,"Sheffield figshare",oai:figshare.com:article/7845044,https://figshare.com/articles/software/Automatic_iFAST_Spectral_Acquisition_Step_0_6V_Range-15-20_4_V_/7845044
"AuToTen: an automatic calculator of tension in tonal music","German Ruiz Marcos (9441197); Robin Laney (3126213); Alistair Willis (4223890)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/13026578,https://figshare.com/articles/software/AuToTen_an_automatic_calculator_of_tension_in_tonal_music/13026578
"Basic operations and object types","Beatriz Gallo Cordoba (9645575)",2021,"Monash figshare",oai:figshare.com:article/16621516,https://figshare.com/articles/software/Basic_operations_and_object_types/16621516
Bio-SNICAR,"Joseph Cook (2757667)",2017,"Sheffield figshare",oai:figshare.com:article/5164720,https://figshare.com/articles/software/Bio-SNICAR/5164720
"C++ code for the hybrid instrument evaluation on the Bela platform","Kurijn Buys (3130314)",2017,"Open Research Data Online (ORDO)",oai:figshare.com:article/4753471,https://figshare.com/articles/software/C_code_for_the_hybrid_instrument_evaluation_on_the_Bela_platform/4753471
"Calculation of distance travelled and surface properties - MATLAB script","Tsu-Jui Cheng (3135630); Laurence Kenney (1233999); James D. Amor (3205914); Sibylle Brunhilde Anitha Thies (2555434); Eleonora Costamagna (3205920); Christopher J. James (3205911); Catherine Holloway (3205917)",2016,"Salford figshare",oai:figshare.com:article/4004994,https://figshare.com/articles/software/Calculation_of_distance_travelled_and_surface_properties_-_MATLAB_script/4004994
"Cartel Leniency and Settlements: A Joint Perspective - Supplementary Calculations","Peter Dijkstra (2672683); Jacob Seifert (13213746)",2022,"University of Leicester figshare repository",oai:figshare.com:article/20448864,https://figshare.com/articles/software/Cartel_Leniency_and_Settlements_A_Joint_Perspective_-_Supplementary_Calculations/20448864
"CiiiDER: A tool for predicting and analysing transcription factor binding sites","Jamie Gearing (12964781); Paul Hertzog (12964835)",2022,"Monash figshare",oai:figshare.com:article/20353410,https://figshare.com/articles/software/CiiiDER_A_tool_for_predicting_and_analysing_transcription_factor_binding_sites/20353410
"Cluster Analysis - Using GO terms","Andrew Landels (2753536); Caroline Evans (2753329)",2018,"Sheffield figshare",oai:figshare.com:article/5327524,https://figshare.com/articles/software/Cluster_Analysis_-_Using_GO_terms/5327524
"Code for ""Learning methods for dynamic topic modeling in automated behavior analysis""","Olga Isupova (2748499); Danil Kuzin (2748502); Lyudmila Mihaylova (1230156)",2018,"Sheffield figshare",oai:figshare.com:article/5765556,https://figshare.com/articles/software/Code_for_Learning_methods_for_dynamic_topic_modeling_in_automated_behavior_analysis_/5765556
"Code for 'A generalised framework for detailed classification of swimming paths inside the Morris Water Maze'","Avgoustinos Vouros (3307290); Tiago Gehring (2753032); Mike Croucher (5923424); Eleni Vasilaki (2752831)",2019,"Sheffield figshare",oai:figshare.com:article/7308353,https://figshare.com/articles/software/RodentDataAnalytics_mwm-ml-gen_Version_4_0_3-beta/7308353
"Code for: Switches Induced by Quorum Sensing in a Model of Enzyme-loaded Microparticles","Annette Taylor (1230228); Tamas Bansagi (2753437)",2017,"Sheffield figshare",oai:figshare.com:article/5357506,https://figshare.com/articles/software/Code_for_Switches_Induced_by_Quorum_Sensing_in_a_Model_of_Enzyme-loaded_Microparticles/5357506
"Code for a compartmental model for describing mixing in manholes","Frederick Sonnenwald (2752372); Ole Mark (10230319); Virginia Stovin (1230129); Ian Guymer (4727973)",2021,"Sheffield figshare",oai:figshare.com:article/14160884,https://figshare.com/articles/software/Code_for_a_compartmental_model_for_describing_mixing_in_manholes/14160884
"Code for calculating cysteine and hydrophobic indices","Stephen Daley (4743399)",2020,"Monash figshare",oai:figshare.com:article/11860905,https://figshare.com/articles/software/Code_for_calculating_cysteine_and_hydrophobic_indices/11860905
"Code for Multi-Output Gaussian Process Regression and Learning Approaches","Le Yang (3641509); Ke Wang (3305730); Lyudmila Mihaylova (1230156)",2019,"Sheffield figshare",oai:figshare.com:article/7538753,https://figshare.com/articles/software/Code_for_Multi-Output_Gaussian_Process_Regression_and_Learning_Approaches/7538753
"Code for paper ""Investigation of the dependence of joint contact forces on musculotendon parameters using a codified workflow for image-based modelling""","Luca Modenese (2763778); Erica Montefiori (2763853); Anqi Wang (4944577); stefan wesarg (5317535); Marco Viceconti (1810522); Claudia Mazza (2763664)",2018,"Sheffield figshare",oai:figshare.com:article/6392423,https://figshare.com/articles/software/Code_for_paper_Investigation_of_the_dependence_of_joint_contact_forces_on_musculotendon_parameters_using_a_codified_workflow_for_image-based_modelling_/6392423
"CODES FOR ""HYBRID INTEGRAL TRANSFORM ANALYSIS OF SUPERCOOLED DROPLETS SOLIDIFICATION""","Igor Carvalho (10232149); Renano Cotta (10232214); Carolina Naveira-Cotta (10232257); Manish Tiwari (6771008)",2021,"UCL figshare",oai:figshare.com:article/14165063,https://figshare.com/articles/software/CODES_FOR_HYBRID_INTEGRAL_TRANSFORM_ANALYSIS_OF_SUPERCOOLED_DROPLETS_SOLIDIFICATION_/14165063
"Code used in the study ""A new method to monitor bone geometry changes at different spatial scales in the longitudinal in vivo μCT studies of mice bones""","Enrico Dall'Ara (2766706); Yang Zhang (1230393); Visakan Kadirkamanathan (2748133)",2019,"Sheffield figshare",oai:figshare.com:article/8397989,https://figshare.com/articles/software/Code_used_in_the_study_A_new_method_to_monitor_bone_geometry_changes_at_different_spatial_scales_in_the_longitudinal_in_vivo_CT_studies_of_mice_bones_/8397989
"Code used in the study  ""ChronoMID - cross-modal neural networks for 3-D temporal medical imaging data""","Enrico Dall'Ara (2766706); Pietro Lio’ (6909349)",2020,"Sheffield figshare",oai:figshare.com:article/11798595,https://figshare.com/articles/software/Code_used_in_the_study_ChronoMID_-_cross-modal_neural_networks_for_3-D_temporal_medical_imaging_data_/11798595
CODE_MRF.zip,"Paulo Silva (4513588); Panagiotis Tsoutsanis (2595451)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/13655585,https://figshare.com/articles/software/CODE_MRF_zip/13655585
collogetr,"Gede Primahadi Wijaya Rajeg (1234749)",2019,"Monash figshare",oai:figshare.com:article/6988706,https://figshare.com/articles/software/collogetr/6988706
"Comparing iTRAQ and TMT isobaric tags","Andrew Landels (2753536); Caroline Evans (2753329)",2018,"Sheffield figshare",oai:figshare.com:article/5327866,https://figshare.com/articles/software/Comparing_iTRAQ_and_TMT_isobaric_tags/5327866
"Compressive Sensing Based Design of Sparse Tripole Arrays [Matlab code]","Matthew Hawes (2748253)",2016,"Sheffield figshare",oai:figshare.com:article/3693951,https://figshare.com/articles/software/Compressive_Sensing_Based_Design_of_Sparse_Tripole_Arrays_Matlab_code_/3693951
"Computational fluid dynamics simulations of 3D printed ventilator splitters and restrictors for differential multi-patient ventilation","Daniel Duke (12056174)",2022,"Monash figshare",oai:figshare.com:article/19134755,https://figshare.com/articles/software/Computational_fluid_dynamics_simulations_of_3D_printed_ventilator_splitters_and_restrictors_for_differential_multi-patient_ventilation/19134755
"Computer code and simulated data of the paper ""Pervasive diffusion of climate signals recorded in ice-vein ionic impurities""","Felix Ng (2757550)",2021,"Sheffield figshare",oai:figshare.com:article/12735191,https://figshare.com/articles/software/Computer_code_and_simulated_data_of_the_paper_Pervasive_diffusion_of_climate_signals_recorded_in_ice-vein_ionic_impurities_/12735191
"Continuous Flash Suppression experiment","Nao Tsuchiya (1235232)",2017,"Monash figshare",oai:figshare.com:article/5280739,https://figshare.com/articles/software/Continuous_Flash_Suppression_experiment/5280739
"Crossmodal BR Analysis pipeline and support code.","Matthew Davidson (4802718)",2018,"Monash figshare",oai:figshare.com:article/5830800,https://figshare.com/articles/software/Crossmodal_BR_Analysis_pipeline_and_support_code_/5830800
DailyET,"Tim Hess (2594677)",2019,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/8223464,https://figshare.com/articles/software/DailyET/8223464
"Data and Code for: Non-numerical strategies used by bees to solve numerical cognition tasks","HaDi MaBouDi (5074931); Andrew Barron (2752936); James Marshall (1230249); Alexander Cope (2752858); Eleni Vasilaki (2752831); Cwyn Solvi (8690917)",2020,"Sheffield figshare",oai:figshare.com:article/12101403,https://figshare.com/articles/software/Honeybees_cheat_on_math_tests_examining_the_use_of_numerosity_in_numerical_cognition_tasks/12101403
"Data and code for Occupancy-derived thermal affinities reflect known physiological thermal limits of marine species","Tom Webb (2749126)",2020,"Sheffield figshare",oai:figshare.com:article/12249686,https://figshare.com/articles/software/Data_and_code_for_Occupancy-derived_thermal_affinities_reflect_known_physiological_thermal_limits_of_marine_species/12249686
"Data and Source Code for Sat CSS","Matthew Hague (4554229); Anthony Widjaja Lin (6040386); Chih-Duo Hong (6040387)",2018,"Royal Holloway figshare",oai:figshare.com:article/7277324,https://figshare.com/articles/software/Data_and_Source_Code_for_Sat_CSS/7277324
"Data underpinning ""NERC Research Translation: Grassland Management"" project","Michail Giannitsopoulos (2941689); Paul Burgess (2593693); Goetz Richter (8119452); Matthew Bell (8119445); Cairistiona F. E. Topp (8119496); Julie Ingram (8119497); Taro Takahashi (8119499)",2020,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/11359613,https://figshare.com/articles/software/Data_underpinning_NERC_Research_Translation_Grassland_Management_project/11359613
"Demo Scilab code for AMPAR kinetic model","Ian Coombs (6924684); David Soto (6924687); Thomas McGee (6779294); Matthew Gold (6774494); Mark Farrant (6769505); Stuart Cull-Candy (6765410)",2019,"UCL figshare",oai:figshare.com:article/8797892,https://figshare.com/articles/software/Demo_Scilab_code_for_AMPAR_kinetic_model/8797892
"Densitometry analysis of Synechocystis proteins","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327500,https://figshare.com/articles/software/Densitometry_analysis_of_Synechocystis_proteins/5327500
"Description of the dynamical model in Genetic Programming Markup Language (GPML) used for model predictive control (MPC) of single-zone building","Tiantian Dou (2756833); Yuri Kaszubowski Lopes (3304971); Peter Rockett (2755972)",2018,"Sheffield figshare",oai:figshare.com:article/7398797,https://figshare.com/articles/software/gpTreeConstantWFInVall_xml/7398797
"dispersion.m - A MatLab script for phase angle and amplitude correction of pressure bar signals","Andrew Barr (3380192)",2016,"Sheffield figshare",oai:figshare.com:article/3996876,https://figshare.com/articles/software/dispersion_m_-_A_MatLab_script_for_phase_angle_and_amplitude_correction_of_pressure_bar_signals/3996876
"dsmcFoam+ case setup for the Orion Crew Module","Tom-Robin Teschner (2599696)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/14730483,https://figshare.com/articles/software/dsmcFoam_case_setup_for_the_Orion_Crew_Module/14730483
"Dynamic Hierarchical Dirichlet Process for Anomaly Detection in Video","Olga Isupova (2748250); Danil Kuzin (2748502); Lyudmila Mihaylova (1230156)",2016,"Sheffield figshare",oai:figshare.com:article/3512600,https://figshare.com/articles/software/Dynamic_Hierarchical_Dirichlet_Process_for_Anomaly_Detection_in_Video/3512600
"ENDOR 263","Yvo Pokern (6767396)",2021,"UCL figshare",oai:figshare.com:article/14217068,https://figshare.com/articles/software/ENDOR_263/14217068
"Energy Storage System @RISK financial model","Andy Wilson (8867402)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/13110011,https://figshare.com/articles/software/Energy_Storage_System_RISK_financial_model/13110011
"eSTEeM: Measuring Qualification Effects framework","David King (3624788)",2017,"Open Research Data Online (ORDO)",oai:figshare.com:article/4829062,https://figshare.com/articles/software/eSTEeM_Measuring_Qualification_Effects_framework/4829062
"Example LDA classifier.zip","Simon Gerrard-Longworth (9256122); Steve Preece (9082804)",2020,"Salford figshare",oai:figshare.com:article/12613826,https://figshare.com/articles/software/Example_LDA_classifier_zip/12613826
"Example Software in R for Homomorphic Encryption","Richard Mott (6765269)",2020,"UCL figshare",oai:figshare.com:article/11908209,https://figshare.com/articles/software/Example_Software_in_R_for_Homomorphic_Encryption/11908209
"Extremum Seeking Control for Truck Drag Reduction","James Whidborne (2595775); Kevin Garry (2594272)",2018,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/6491846,https://figshare.com/articles/software/Extremum_Seeking_Control_for_Truck_Drag_Reduction/6491846
"Fake for piano and electronics","Fergal Dowling (12185137); Zubin Kanga (4545916)",2022,"Royal Holloway figshare",oai:figshare.com:article/19294508,https://figshare.com/articles/software/Fake_for_piano_and_electronics/19294508
"FFT of square wave generation script","James Barrington (2737393); Stephen James (2594353)",2018,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/5245387,https://figshare.com/articles/software/FFT_of_square_wave_generation_script/5245387
"Figure IDL files","Hamish Reid (7258892)",2021,"UCL figshare",oai:figshare.com:article/14140679,https://figshare.com/articles/software/Figure_IDL_files/14140679
"Filename randomiser","Thomas Burgoyne (6761654)",2021,"UCL figshare",oai:figshare.com:article/14369258,https://figshare.com/articles/software/Filename_randomiser/14369258
"Formal proof of the small-gain theorem by interactive theorem proving","Omar Ahmad Jasim (2748595); Sandor Veres (1230168)",2020,"Sheffield figshare",oai:figshare.com:article/11791449,https://figshare.com/articles/software/Formal_proof_of_the_small-gain_theorem_by_interactive_theorem_proving/11791449
full_test.nb,"Alastair Kay (4552783)",2016,"Royal Holloway figshare",oai:figshare.com:article/2070181,https://figshare.com/articles/software/full_test_nb/2070181
"Gap Analysis - spatial description of network spaces","Sophie Acton (6782690)",2019,"UCL figshare",oai:figshare.com:article/8798597,https://figshare.com/articles/software/Gap_Analysis_-_spatial_description_of_network_spaces/8798597
GBSAR-Proc,"James Elgy (3188748)",2019,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/9693581,https://figshare.com/articles/software/GBSAR-Proc/9693581
"Generating geographical locative expressions","Mark Hall (8903831)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/12876938,https://figshare.com/articles/software/Generating_geographical_locative_expressions/12876938
happyr,"Gede Primahadi Wijaya Rajeg (1234749)",2018,"Monash figshare",oai:figshare.com:article/7150133,https://figshare.com/articles/software/happyr/7150133
"Heterogeneity in The Mechanical Properties of Integrins: essential files to run hybrid Mech-ABM","Aban Shuaib (2763742)",2019,"Sheffield figshare",oai:figshare.com:article/9589247,https://figshare.com/articles/software/Heterogeneity_in_The_Mechanical_Properties_of_Integrins_essential_files_to_run_hybrid_Mech-ABM/9589247
"Heterogeneity in The Mechanical Properties of Integrins: Mech-ABM Codes and Algorithm","Aban Shuaib (2763742)",2019,"Sheffield figshare",oai:figshare.com:article/9583001,https://figshare.com/articles/software/Heterogeneity_in_The_Mechanical_Properties_of_Integrins_Mech-ABM_Codes_and_Algorithm/9583001
HHFtools,"David Hancock (2761960)",2018,"Sheffield figshare",oai:figshare.com:article/6463049,https://figshare.com/articles/software/HHFtools/6463049
"Immunohistochemistry Analysis","Cameron Nowell (6698087); Chris Langmead (6698089)",2019,"Monash figshare",oai:figshare.com:article/8142050,https://figshare.com/articles/software/Immunohistochemistry_Analysis/8142050
"Interactive App: Enhanced sensitivity to group differences with decision modelling","Anna Krystalli (4058650); Tom Stafford (2768440)",2019,"Sheffield figshare",oai:figshare.com:article/8109161,https://figshare.com/articles/software/Interactive_App_Enhanced_sensitivity_to_group_differences_with_decision_modelling/8109161
"Iso-dodecane kinetics mechanism","Hossein Soukht Saraee (7443002)",2022,"Sheffield figshare",oai:figshare.com:article/20523087,https://figshare.com/articles/software/Iso-dodecane_kinetics_mechanism/20523087
"Jupyter Notebook for paper: ""Sensitivity Calculations of High-Speed Optical Receivers  based on Electron-APDs""","Vladimir Shulyak (2756857)",2019,"Sheffield figshare",oai:figshare.com:article/10069391,https://figshare.com/articles/software/Jupyter_Notebook_for_paper_Sensitivity_Calculations_of_High-Speed_Optical_Receivers_based_on_Electron-APDs_/10069391
"Kalb protein quantification test","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327485,https://figshare.com/articles/software/Kalb_protein_quantification_test/5327485
"LAMMPS input scripts for simulating archaeal division","Andela Saric (6761414)",2021,"UCL figshare",oai:figshare.com:article/16601753,https://figshare.com/articles/software/LAMMPS_input_scripts_for_simulating_archaeal_division/16601753
"LEDA portal data","Alessio Antonini (9314390)",2021,"Open Research Data Online (ORDO)",oai:figshare.com:article/14135078,https://figshare.com/articles/software/Portal_data/14135078
"Linking dimensions of data on global marine animal diversity","Tom Webb (2749126)",2020,"Sheffield figshare",oai:figshare.com:article/12833891,https://figshare.com/articles/software/Linking_dimensions_of_data_on_global_marine_animal_diversity/12833891
"Liquid air energy storage system Modelica components","Andy Wilson (8867402)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/12382547,https://figshare.com/articles/software/Liquid_air_energy_storage_system_Modelica_components/12382547
"Live Cell Analysis (3 and 4 Channel)","Cameron Nowell (6698087)",2019,"Monash figshare",oai:figshare.com:article/9980861,https://figshare.com/articles/software/Live_Cell_Analysis_3_and_4_Channel_/9980861
"Machine-learning classifiers models for MELD lesion detection","Hannah Spitzer (9999875); Mathilde Ripart (9372434); Sophie Adler (6773627); Konrad Wagstyl (7076660); MELD Consortium (11844366)",2021,"UCL figshare",oai:figshare.com:article/17099144,https://figshare.com/articles/software/Machine-learning_classifiers_models_for_MELD_lesion_detection/17099144
"Major Trauma Triage Health Economic Model","Daniel Pollard (2758426); Gordon Fuller (2758369)",2021,"Sheffield figshare",oai:figshare.com:article/13379036,https://figshare.com/articles/software/Major_Trauma_Triage_Health_Economic_Model/13379036
materialtools,"David Hancock (2761960)",2018,"Sheffield figshare",oai:figshare.com:article/6463043,https://figshare.com/articles/software/materialtools/6463043
"Matlab and Simulink programs for the hybrid and simulated evaluations","Kurijn Buys (3130314)",2017,"Open Research Data Online (ORDO)",oai:figshare.com:article/4753465,https://figshare.com/articles/software/Matlab_and_Simulink_programs_for_the_hybrid_and_simulated_evaluations/4753465
"Matlab code: From Modulated Hebbian Plasticity to Simple Behavior Learning through Noise and Weight Saturation","Andrea Soltoggio (1248822)",2017,"Loughborough figshare",oai:figshare.com:article/5383771,https://figshare.com/articles/software/Matlab_code_From_Modulated_Hebbian_Plasticity_to_Simple_Behavior_Learning_through_Noise_and_Weight_Saturation/5383771
"MATLAB Implementation of a Box Particle Filter for tracking multiple extended objects","Allan De Freitas (2748496); Lyudmila Mihaylova (1230156)",2019,"Sheffield figshare",oai:figshare.com:article/7654889,https://figshare.com/articles/software/MATLAB_Implementation_of_a_Box_Particle_Filter_for_tracking_multiple_extended_objects/7654889
"MATLAB implementation of an optimal tracking control of unknown or varying discrete-time dynamical systems using RL with an augmented integral formulation","Ibrahim Sanusi (2748664)",2019,"Sheffield figshare",oai:figshare.com:article/11367320,https://figshare.com/articles/software/MATLAB_implementation_of_an_optimal_tracking_control_of_unknown_or_varying_discrete-time_dynamical_systems_using_RL_with_an_augmented_integral_formulation/11367320
"Matlab script - make masking noises - LPC method","Philippa Demonte (3739711)",2019,"Salford figshare",oai:figshare.com:article/9988628,https://figshare.com/articles/software/Matlab_script_-_make_masking_noises_-_LPC_method/9988628
"Matlab script - make masking noises - pwelch method","Philippa Demonte (3739711)",2019,"Salford figshare",oai:figshare.com:article/9988646,https://figshare.com/articles/software/Matlab_script_-_make_masking_noises_-_pwelch_method/9988646
"Merging tag-based proteomic experiments","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327506,https://figshare.com/articles/software/Merging_tag-based_proteomic_experiments/5327506
"Methods for calculating cognitive distance and accessibility from global GIS data","Ed Manley (6776930); Gabriele Filomena (8382171)",2020,"UCL figshare",oai:figshare.com:article/11777736,https://figshare.com/articles/software/Methods_for_calculating_cognitive_distance_and_accessibility_from_global_GIS_data/11777736
"Mixed protection of threatened species traded under CITES","Oscar Morton (7458842); David Edwards (2749246); Brett R. Scheffers (8029232); Torbjorn Haugaasen (9748215)",2021,"Sheffield figshare",oai:figshare.com:article/17151449,https://figshare.com/articles/software/Mixed_protection_of_threatened_species_traded_under_CITES/17151449
"Mixture of Probabilistic Principal Component Analyzers for Shapes from Point Sets","Ali Gooya (2756167); Alejandro Frangi (654514); Jose Pozo Soler (2756110)",2017,"Sheffield figshare",oai:figshare.com:article/4977749,https://figshare.com/articles/software/Mixture_of_Probabilistic_Principal_Component_Analyzers_for_Shapes_from_Point_Sets/4977749
"Mock Nanopore minKNOW gene sequencer (pyminknow)","Joe Heffer (8296536)",2020,"Sheffield figshare",oai:figshare.com:article/12357581,https://figshare.com/articles/software/pyminknow/12357581
"Model code and test datasets for 'ATAT 1.1, the Automated Timing Accordance Tool for comparing ice-sheet model output with geochronological data'","Jeremy Ely (2757607)",2018,"Sheffield figshare",oai:figshare.com:article/7172243,https://figshare.com/articles/software/atat_supplement_zip/7172243
"Modelling, Interfacing and Visualisation of Cranfield Saab340B Aircraft","Dhanush Shashidhara (10809882); Sarth Patel (10778058)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/14605389,https://figshare.com/articles/software/Modelling_Interfacing_and_Visualisation_of_Cranfield_Saab340B_Aircraft/14605389
"Modified Heap Sort (MHS) in Chapter 2 (Matlab codes)","Sittichoke Som-Am (9082433)",2020,"University of Leicester figshare repository",oai:figshare.com:article/12607934,https://figshare.com/articles/software/Modified_Heap_Sort_MHS_in_Chapter_2_Matlab_codes_/12607934
"MoJoXlab: macOS_setup","Riasat Islam (8119565); Mohamed Bennasar (8293784); Kevin Nicholas (8293785); Kate Button (3536060); Simon Holland (8119340); Paul Mulholland (6376325); Blaine Price (4497355); Mohammad Al-Amri (4613560)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/11594736,https://figshare.com/articles/software/MoJoXlab_MoJoXlab_v0_2_macOS_setup_zip/11594736
"MoJoXlab: windows_setup.zip","Riasat Islam (8119565); Mohamed Bennasar (8293784); Kevin Nicholas (8293785); Kate Button (3536060); Simon Holland (8119340); Paul Mulholland (6376325); Blaine Price (4497355); Mohammad Al-Amri (4613560)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/11594760,https://figshare.com/articles/software/MoJoXlab_v0_2_windows_setup_exe/11594760
"MonteCarlo Parallel Analysis for PCA: An SPSS Dialog","Shane Costello (2566108)",2016,"Monash figshare",oai:figshare.com:article/3470369,https://figshare.com/articles/software/MonteCarloPAforPCA_spd/3470369
"MuMoT Release 1.2.2","James Marshall (1230249); Andreagiovanni Reina (2752966); Thomas Bose (2752963); Robert Dennison (7450137); Will Furnass (1233693)",2019,"Sheffield figshare",oai:figshare.com:article/9925010,https://figshare.com/articles/software/MuMoT_Release_1_1_2/9925010
"NDR code for A Novel Application of Non-Destructive Readout Technology to Localisation Microscopy","Ashley Cadby (2767510); Samuel Barnett (2762620)",2017,"Sheffield figshare",oai:figshare.com:article/5379463,https://figshare.com/articles/software/NDR_code/5379463
"Non-random sampling.R","Matthew Inglis (1384290)",2018,"Loughborough figshare",oai:figshare.com:article/6016247,https://figshare.com/articles/software/Non-random_sampling_R/6016247
