Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,Software
Created,2022-08-26T16:26:05Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
"IFC Generator","Valero, Enrique; Bosché, Frédéric",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3737,https://hdl.handle.net/10283/3737
"Image analysis macros for array tomography","Spires-Jones, Tara",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3380,https://hdl.handle.net/10283/3380
"Interacting Particles in 1D and 2D","Hellier, Joshua",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3261,https://hdl.handle.net/10283/3261
"International LAnd Model Benchmarking framework Beta version (ILAMBbeta)","Caen, Auguste; Williams, Mathew",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3921,https://hdl.handle.net/10283/3921
"Learning Fast Sparsifying Transforms","Rusu, Cristian; Thompson, John S",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2209,https://hdl.handle.net/10283/2209
"Leptosphaeria maculans CD-ROM","Biddulph, J.; West, J. S.",1998,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87z09,https://repository.rothamsted.ac.uk/item/87z09/leptosphaeria-maculans-cd-rom
"LIMO EEG v1.5","LIMO Team; Pernet, Cyril; Rousselet, Guillaume; Gaspar, Carl; Chauveau, Nicolas",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2190,https://hdl.handle.net/10283/2190
"Live Multiband Speaker Delay Compensation.","Smith, Trenton",2016,"Sydney eScholarship Repository",oai:ses.library.usyd.edu.au:2123/15028,http://hdl.handle.net/2123/15028
"Magnetisation transfer saturation (MTsat) processing","York, Elizabeth; Thrippleton, Michael J; Waldman, Adam",2020,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3808,https://hdl.handle.net/10283/3808
"Masks2Metrics (M2M) 1.0: a Matlab tool for region-of-interest metrics; Masks2Metrics (M2M) 1.0","Mikhael, Shadia; Gray, Calum",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3018,https://hdl.handle.net/10283/3018
"Masonry segmentation plugin for CloudCompare","Valero, Enrique; Bosché, Frédéric",2020,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3717,https://hdl.handle.net/10283/3717
"MATCHDTR.FOR: software for the SADIE system of spatial analysis","Perry, J. N.",1996,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87737,https://repository.rothamsted.ac.uk/item/87737/matchdtr-for-software-for-the-sadie-system-of-spatial-analysis
"MATLAB-based framework for simulating and processing BOLD CVR data","Sleight, Emilie; Thrippleton, Michael J",2024,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/4485,https://hdl.handle.net/10283/4485
"MATLAB-based framework for simulating DCE-MRI of subtle blood-brain barrier breakdown","Manning, Cameron; Thrippleton, Michael J",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3853,https://hdl.handle.net/10283/3853
"Matlab codes for ""Amplitude-aware Permutation Entropy: Illustration in Spike Detection and Signal Segmentation""","Azami, Hamed; Escudero, Javier",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3864,https://hdl.handle.net/10283/3864
"Matlab Codes for ""Evaluation of Matrix Factorisation Approaches for Muscle Synergy Extraction"" paper; Evaluation of Matrix Factorisation Approaches for Muscle Synergy Extraction.","Ebied, Ahmed; Escudero, Javier",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3068,https://hdl.handle.net/10283/3068
"Matlab codes for ""Improved Multiscale Permutation Entropy for Biomedical Signal Analysis: Interpretation and Application to Electroencephalogram Recordings""","Azami, Hamed; Escudero, Javier",2015,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/807,https://hdl.handle.net/10283/807
"Matlab codes for ""Refined Composite Multivariate Generalized Multiscale Fuzzy Entropy:  A Tool for Complexity Analysis of Multichannel Signals""","Azami, Hamed; Escudero, Javier",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2044,https://hdl.handle.net/10283/2044
"Matlab codes for ""Refined Multiscale Fuzzy Entropy based on Standard Deviation for Biomedical Signal Analysis""","Azami, Hamed; Escudero, Javier",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2099,https://hdl.handle.net/10283/2099
"Matlab codes related to ""Weighted network estimation by the use of topological graph metrics""","Escudero, Javier; Spyrou, Loukianos",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3110,https://hdl.handle.net/10283/3110
"Matlab scripts for analysis of vortex shedding","Cummins, Cathal; Nakayama, Naomi; Viola, Ignazio Maria; Mastropaolo, Enrico",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3100,https://hdl.handle.net/10283/3100
"Met Office NERC Cloud model (MONC)","Brown, Nick; Weiland, Michele",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3071,https://hdl.handle.net/10283/3071
"MODEVAL: quantitative methods to evaluate and compare SOM models","Smith, J. U.; Smith, P.",1995,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:874wv,https://repository.rothamsted.ac.uk/item/874wv/modeval-quantitative-methods-to-evaluate-and-compare-som-models
"Monte Carlo simulation of and active interface with diffusing activators","Cagnetta, Francesco",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3048,https://hdl.handle.net/10283/3048
"NCYCLE_IRL: A model to predict N fluxes in Irish grasslands","Del Prado, A.; Brown, L.; Schulte, R.; Ryan, M.; Carton, O.; Scholefield, D.",2006,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:85v5q,https://repository.rothamsted.ac.uk/item/85v5q/ncycle-irl-a-model-to-predict-n-fluxes-in-irish-grasslands
"NEMOLite2D Benchmark Suite 1.0","Ford, Rupert; Appleyard, Jeremy; Porter, Andrew; Liu, Hedong",2017,"eData: the STFC Research Data Repository",oai:edata.stfc.ac.uk:edata/729,http://purl.org/net/edata/handle/edata/729
"Network of Nodes Simulator","Sthapit, Saurav",2018,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3138,https://hdl.handle.net/10283/3138
"NGAUGE - a Decision Support System for N fertiliser recommendations for UK grassland","Brown, L.; Scholefield, D.; Jewkes, E. C.; Lockyer, D. R.",2001,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:8566y,https://repository.rothamsted.ac.uk/item/8566y/ngauge-a-decision-support-system-for-n-fertiliser-recommendations-for-uk-grassland
"Nudged UM outputs for aerosol emission scenarios","Freychet, Nicolas",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3241,https://hdl.handle.net/10283/3241
"NUTGRANJA 2.0- a simple model to explore the effects of different management strategies on N and P losses from dairy systems","Del Prado, A.; Corre, W.; Oenema, O.; Pinto, M.; del Hierro, O.; Scholefield, D.",2006,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:85v59,https://repository.rothamsted.ac.uk/item/85v59/nutgranja-2-0-a-simple-model-to-explore-the-effects-of-different-management-strategies-on-n-and-p-losses-from-dairy-systems
"Ofenbach variPlay - Rock It","Toulson, R.; Paterson, J.",2019,WestminsterResearch,oai:westminsterresearch.westminster.ac.uk:qv295,https://westminsterresearch.westminster.ac.uk/item/qv295/ofenbach-variplay-rock-it
"Path-ZVA Implementation","Reijsbergen, Daniel",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2630,https://hdl.handle.net/10283/2630
"Personal Space","Everitt, Dave; Raczinski, Fania",2018,"De Montfort University Open Research Archive - DORA",oai:dora.dmu.ac.uk:2086/16789,http://hdl.handle.net/2086/16789
"Procedure FZERO (Software distributed with Genstat5 Release 4.1)","Mugglestone, M. A.; Harding, S. A.; Lee, B. Y. Y.; Diggle, P. J.; Rowlingson, B. S.",1997,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87w86,https://repository.rothamsted.ac.uk/item/87w86/procedure-fzero-software-distributed-with-genstat5-release-4-1
"Procedure KHAT (Software distributed with Genstat 5 Release 4.1)","Mugglestone, M. A.; Harding, S. A.; Lee, B. Y. Y.; Diggle, P. J.; Rowlingson, B. S.",1997,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87w8x,https://repository.rothamsted.ac.uk/item/87w8x/procedure-khat-software-distributed-with-genstat-5-release-4-1
"Procedure MSEKERNEL2D (Software distributed with Genstat 5 Release 4.1)","Mugglestone, M. A.; Harding, S. A.; Lee, B. Y. Y.; Diggle, P. J.; Rowlingson, B. S.",1997,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87w91,https://repository.rothamsted.ac.uk/item/87w91/procedure-msekernel2d-software-distributed-with-genstat-5-release-4-1
"Procedure PTGRID (Software distributed with Genstat 5 Release 4.1)","Mugglestone, M. A.; Harding, S. A.; Lee, B. Y. Y.; Diggle, P. J.; Rowlingson, B. S.",1997,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:87w89,https://repository.rothamsted.ac.uk/item/87w89/procedure-ptgrid-software-distributed-with-genstat-5-release-4-1
"Red Planet EP","Toulson, R.; Paterson, J.",,WestminsterResearch,oai:westminsterresearch.westminster.ac.uk:q17q9,https://westminsterresearch.westminster.ac.uk/item/q17q9/red-planet-ep
Rel,"Voorhis, Dave",2004,"UDORA, the University of Derby Online Research Archive",oai:derby.openrepository.com:10545/583377,http://hdl.handle.net/10545/583377
"Rel; An implementation of Date &amp; Darwen's ""Tutorial D"" Database Language","Voorhis, Dave",2016,"UDORA, the University of Derby Online Research Archive",oai:derby.openrepository.com:10545/620826,http://hdl.handle.net/10545/620826
"Rhizobox validation","Bontpart, Thibaut; Concha, Cristobal; Giuffrida, Valerio; Robertson, Ingrid; Admkie, Kassahun; Degefu, Tulu; Girma, Nigussie; Tesfaye, Kassahun; Haileselassie, Teklehaimanot; Fikre, Asnake; Fetene, Masresha; Tsaftaris, Sotirios; Doerner, Peter",2020,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3653,https://hdl.handle.net/10283/3653
"Scan-to-BIM Interface","Valero, Enrique; Ceklarz, Michal; Mohanty, Dibya D; Bosché, Frédéric",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3938,https://hdl.handle.net/10283/3938
"Scattering of inertial waves by random flows","Danioux, Eric",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/1910,https://hdl.handle.net/10283/1910
"Scripts to compute heat waves and composites with ERA Interim datasets","Freychet, Nicolas",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2341,https://hdl.handle.net/10283/2341
"Shear thickening in dense suspensions driven by particle interlocking","Blair, Matthew; Ness, Christopher",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/4487,https://hdl.handle.net/10283/4487
"simpops.mac: population time series simulation script from ""The effects of environmental perturbation and measurement error on estimates of the shape parameter in the theta-logistic model of population regulation""","Barker, Daniel; Sibly, Richard",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2736,https://hdl.handle.net/10283/2736
"SIMSDAIRY - a modelling framework to identify new integrated diary production systems","Del Prado, A.; Misselbrook, T. H.; Chadwick, D. R.; Hopkins, A.; Dewhurst, R. J.; Davison, P.; Butler, A.; Turner, M.; Schroder, J.; Scholefield, D.",2006,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:85v5w,https://repository.rothamsted.ac.uk/item/85v5w/simsdairy-a-modelling-framework-to-identify-new-integrated-diary-production-systems
"Skaldic Poetry of the Scandinavian Middle Ages : Database","Wills, Tarrin Jon",2012,"Aberdeen University Research Archive (AURA)",oai:aura.abdn.ac.uk:2164/2965,http://hdl.handle.net/2164/2965
"Software - executable for Windows (beta)","McCormick, Alistair; Dobrescu, Andrei; Scorza, Livia CT",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2958,https://hdl.handle.net/10283/2958
"Software - source code (beta)","McCormick, Alistair; Dobrescu, Andrei; Scorza, Livia CT",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2957,https://hdl.handle.net/10283/2957
"Software and data for endoscopic sensing of alveolar pH","Choudhury, Debaditya; Tanner, Michael G.; McAughtrie, Sarah; Yu, Fei; Mills, Bethany; Choudhary, Tushar R.; Seth, Sohan; Craven, Thomas H.; Stone, James M.; Mati, Ioulia K.; Campbell, Colin J.; Bradley, Mark; Williams, Christopher K. I.; Dhaliwal, Ke...",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2220,https://hdl.handle.net/10283/2220
"Software and data used in the study 'How much has urbanisation affected temperatures in the United Kingdom'","Goddard, Ian; Tett, Simon FB",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3111,https://hdl.handle.net/10283/3111
"Software to assess the utility of autofluorescence-based pulmonary optical endomicroscopy to predict the malignant potential of solitary pulmonary nodules in humans","Seth, Sohan; Williams, Christopher K. I.; Dhaliwal, Kevin; Bradley, Mark",2015,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/869,https://hdl.handle.net/10283/869
"Software Work for Analysing the Current Status of Research on Quantum Games","Huang, D.; Li, Shuliang",2017,WestminsterResearch,oai:westminsterresearch.westminster.ac.uk:q3045,https://westminsterresearch.westminster.ac.uk/item/q3045/software-work-for-analysing-the-current-status-of-research-on-quantum-games
"Source code and example data for ""Open source image processing methods for real-time fibre bundle optical endomicroscopy""","Norberg, Dominic",2022,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3803,https://hdl.handle.net/10283/3803
"Source codes of network simulator for testing adaptive centralized random access","Kim, Jinho",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3273,https://hdl.handle.net/10283/3273
"Source codes of the network simulator for centralized random backoff in Wi-Fi networks","Kim, Jinho",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2737,https://hdl.handle.net/10283/2737
"Stacked Bar-Code Chart","Raczinski, Fania",2018,"De Montfort University Open Research Archive - DORA",oai:dora.dmu.ac.uk:2086/16815,http://hdl.handle.net/2086/16815
"Structure-Adaptive Large-Scale Convex Optimization Toolbox v1.0","Tang, Junqi",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3249,https://hdl.handle.net/10283/3249
"SUPERSEDED - Additional files for 'DNA sonification for public engagement in bioinformatics'","Plaisier, Heleen; Meagher, Thomas R; Barker, Daniel",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3868,https://hdl.handle.net/10283/3868
"SUPERSEDED - Additional files for 'Using sound to understand protein sequence data: new sonification algorithms for protein sequences and multiple sequence alignments'","Martin, EJ; Meagher, TR; Barker, D",2021,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3831,https://hdl.handle.net/10283/3831
"SUPERSEDED - Matlab codes for ""Amplitude-aware Permutation Entropy: Illustration in Spike Detection and Signal Segmentation""","Azami, Hamed; Escudero, Javier",2016,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/1918,https://hdl.handle.net/10283/1918
"Supplementary material for ""Long Term Impact of Grid Level Energy Storage on Renewable Energy Penetration and Emissions in the Chilean Electric System"" by Serguey A. Maximov,  Gareth P. Harrison and Daniel Friedrich, Energies, 2019","Maximov, Serguey",2019,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3277,https://hdl.handle.net/10283/3277
"Swimming suppresses correlations in dilute suspensions of pusher microorganisms","Morozov, Alexander; Skultety, Viktor; Marenduzzo, Davide",2020,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/3720,https://hdl.handle.net/10283/3720
"Symmetry operators Mathematica notebook","Backdahl, Thomas",2014,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/541,https://hdl.handle.net/10283/541
"Synapse loss in the prefrontal cortex is associated with cognitive decline in amyotrophic lateral sclerosis - Analysis macros","Henstridge, Christopher M; Spires-Jones, Tara L",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2974,https://hdl.handle.net/10283/2974
"The Complex Hierarchical Topology of EEG Functional Connectivity","Smith, Keith; Escudero, Javier",2017,"Edinburgh DataShare",oai:datashare.ed.ac.uk:10283/2149,https://hdl.handle.net/10283/2149
"The GCTE Soil Organic Matter Network (SOMNET) metadata database","Smith, P.; Caiger, A.; Potts, J. M.; Smith, J. U.; Leech, P. K.; Powlson, D. S.",1996,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:878zz,https://repository.rothamsted.ac.uk/item/878zz/the-gcte-soil-organic-matter-network-somnet-metadata-database
"The GLIM System, Release 3: Generalized linear interactive modelling","Baker, R. J.; Nelder, J. A.",1978,"Rothamsted Repository",oai:repository.rothamsted.ac.uk:8w38q,https://repository.rothamsted.ac.uk/item/8w38q/the-glim-system-release-3-generalized-linear-interactive-modelling
"The RIX Wiki Software","Minnion, A.; Kwiatkowska, G.",2014,"UEL Research Repository",oai:repository.uel.ac.uk:88v72,https://repository.uel.ac.uk/item/88v72
"Tool for the appraisal of roadspace allocation schemes","Anciaes, Paulo",2021,"UCL Discovery",oai:eprints.ucl.ac.uk.OAI2:10144317,https://discovery.ucl.ac.uk/id/eprint/10144317/
"Tool to generate options for interventions to reallocate roadspace","Anciaes, Paulo",2020,"UCL Discovery",oai:eprints.ucl.ac.uk.OAI2:10144319,https://discovery.ucl.ac.uk/id/eprint/10144319/
